"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-p-and-ns"
"10/17/2024 11:22:42:682 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"36","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","false","true","500","0","80","0","0","0","0","18","0","2","0","639.65","223.55"
"34","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","false","true","500","0","0","80","0","0","1","0","19","0","0","266.4375","892.85"
"40","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","false","true","500","51","29","0","0","0","15","5","0","0","0","900.2375","534.95"
"38","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","false","true","500","0","0","80","0","0","0","0","20","0","0","274.35","1006.65"
"42","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","80","0","0","0","0","20","0","0","0","0","872.3625","952.7"
"47","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","80","0","0","0","0","20","0","0","0","0","912.65","788.45"
"44","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","80","0","0","0","0","20","0","0","0","861.725","237.35"
"46","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","80","0","0","0","0","20","0","0","0","762.725","237.5"
"48","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","79","0","1","0","0","18","0","2","0","0","745.6875","922.25"
"43","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","0","80","0","0","0","0","20","0","0","312.675","1050.8"
"45","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","0","80","0","0","0","0","20","0","0","330.0125","1115.65"
"50","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","80","0","0","0","0","17","0","3","0","0","771.775","878.5"
"41","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","21","0","59","0","0","6","0","14","0","351.775","106.45"
"49","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","0","80","0","0","0","0","20","0","0","338.25","1152.85"
"51","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","79","1","0","0","0","20","0","0","0","0","863.65","930.8"
"52","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","80","0","0","0","0","20","0","0","0","0","886.3625","801.85"
"53","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","80","0","0","0","0","19","0","1","0","830.4875","246.25"
"57","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","80","0","0","0","0","20","0","0","0","0","918.8375","901.15"
"58","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","80","0","0","0","0","19","0","1","0","0","885.2375","763"
"54","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","0","80","0","0","0","0","20","0","0","413.075","1150.8"
"59","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","3","77","0","0","0","0","20","0","0","0","814.7125","241.65"
"55","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","0","55","25","0","0","0","14","6","0","169.3125","559.9"
"60","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","0","80","0","0","0","0","20","0","0","321.625","1143.2"
"56","0.5","1","0.5","0","true","0.002","0.2","100","10","2","250","0.2","false","true","500","0","0","0","80","0","0","0","0","20","0","179.1875","231.8"
"62","0.5","1","0.5","0","true","0.002","0.2","100","15","2","250","0.2","false","true","500","79","1","0","0","0","20","0","0","0","0","875.8625","792"
"61","0.5","1","0.5","0","true","0.002","0.2","100","15","2","250","0.2","false","true","500","47","2","29","2","0","7","0","13","0","0","529.5375","676.8"
"63","0.5","1","0.5","0","true","0.002","0.2","100","15","2","250","0.2","false","true","500","78","1","1","0","0","20","0","0","0","0","707.5125","871.8"
"66","0.5","1","0.5","0","true","0.002","0.2","100","15","2","250","0.2","false","true","500","80","0","0","0","0","20","0","0","0","0","853.3625","900.55"
"65","0.5","1","0.5","0","true","0.002","0.2","100","15","2","250","0.2","false","true","500","0","80","0","0","0","0","20","0","0","0","886.875","188.15"
