"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-strategies"
"10/20/2024 13:38:12:739 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"36","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","30","2","3","0","45","8","2","9","0","1","1222.3","805.55"
"39","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","35","7","0","0","38","15","4","0","0","1","1211.0875","1179.4"
"38","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","13","5","28","12","22","0","0","11","8","1","547.7375","275.95"
"40","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","false","true","500","0","0","52","1","27","0","0","19","0","1","155.4","329.2"
"41","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","false","true","500","40","1","0","0","39","19","0","0","0","1","1261.975","1033.15"
"43","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","false","true","500","46","0","0","0","34","19","1","0","0","0","1325.2875","1062.45"
"44","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","false","true","500","47","3","0","0","30","19","1","0","0","0","1290.8125","812.55"
"42","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","false","true","500","1","0","72","0","7","2","0","18","0","0","238.1125","526.5"
"46","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","false","true","500","45","5","0","0","30","17","1","0","0","2","1269.3875","1034.95"
"47","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","false","true","500","33","1","2","0","44","16","0","4","0","0","1155.5625","710.4"
