"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 15:58:12:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"46","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"47","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"45","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"49","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"48","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"50","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"52","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"53","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"51","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"54","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"55","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"56","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"57","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"58","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"59","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"60","0.5","1","0.5","0","false","0.002","0.2","100","10","2","250","0.2","500","0","0","0","80","0","0","0","0","20","0"
"61","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","79","0","1","0","0","20","0","0","0","0"
"62","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"63","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"65","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"64","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","28","25","0","27","0","9","0","3","8","0"
"67","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","40","17","0","23","0","11","0","4","5","0"
"66","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","0","0","25","55","0","0","3","0","17","0"
"68","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","64","0","0","16","0","13","0","0","7","0"
"69","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"70","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"71","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","66","14","0","0","0","16","0","4","0","0"
"72","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"73","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"74","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","49","31","0","0","0","15","0","5","0","0"
"75","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","0","79","0","1","0","0","0","19","1","0"
"77","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"76","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","0","80","0","0","0","0","0","20","0","0"
"79","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"78","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","0","0","5","75","0","0","1","0","19","0"
"80","0.5","1","0.5","0","false","0.002","0.2","100","15","2","250","0.2","500","80","0","0","0","0","20","0","0","0","0"
"81","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","18","23","26","13","0","6","6","2","6","0"
"82","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","22","25","20","13","0","5","5","4","6","0"
"83","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","13","29","19","19","0","3","5","5","7","0"
"84","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","28","20","12","20","0","4","4","5","7","0"
"85","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","23","27","13","17","0","3","8","7","2","0"
"86","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","24","18","15","23","0","4","8","4","4","0"
"87","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","14","22","22","22","0","4","6","4","6","0"
"88","0.5","1","0.5","0","false","0.002","0.2","100","20","2","250","0.2","500","19","18","18","25","0","7","2","9","2","0"
