"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-baseline-0 1 2 4 7 10 13 16 18 19 20"
"10/20/2024 13:13:40:513 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","binary-strategies","relative-copy","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]","mean-communality-majority","mean-communality-minority"
"36","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","true","true","500","0","34","0","0","46","0","19","0","0","1","1091.45","895.9"
"37","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","true","true","500","37","0","0","0","43","18","1","0","0","1","1226.25","727.95"
"38","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","true","true","500","28","4","0","0","48","18","0","0","0","2","1297.35","1112.3"
"40","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","true","true","500","0","26","0","0","54","0","18","0","0","2","1330.7625","951.5"
"39","0.7","1","0.3","0","false","0.002","0.2","100","1","2","250","0.2","true","true","500","0","0","0","61","19","0","0","0","20","0","33.675","17.15"
"41","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","true","true","500","0","48","0","0","32","0","18","0","0","2","1268.2125","824.7"
"42","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","true","true","500","1","53","0","4","22","0","20","0","0","0","1016.2625","531.75"
"43","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","true","true","500","0","0","0","73","7","0","0","0","20","0","49.225","117.05"
"44","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","true","true","500","0","0","0","75","5","0","0","0","20","0","43.875","45.75"
"45","0.7","1","0.3","0","false","0.002","0.2","100","2","2","250","0.2","true","true","500","0","0","0","79","1","0","0","0","20","0","31.625","54.55"
