"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-no-perturbation"
"10/16/2024 14:12:01:555 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"44","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","10","0","0","60","0","0","11","0","19"
"47","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","1","6","63","0","3","0","4","23"
"48","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","9","0","61","0","8","0","0","22"
"46","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","0","13","57","0","0","0","10","20"
"49","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","0","11","59","0","0","0","12","18"
"50","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","10","0","0","60","0","0","11","0","19"
"51","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","11","0","0","0","59","11","0","0","0","19"
"53","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","0","8","0","62","0","7","0","0","23"
"52","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","10","0","0","60","0","0","9","0","21"
"55","0.5","1","0.5","0","false","0.002","0.2","100","0","2","250","0.3","500","0","13","0","0","57","0","0","12","0","18"
