"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 17:19:55:486 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"45","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","39","0","0","31","0","0","29","0","1"
"47","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","46","0","24","0","28","0","0","2"
"46","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","40","0","0","30","0","0","26","0","4"
"48","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","0","43","27","0","0","0","27","3"
"49","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","40","0","0","30","0","0","28","0","2"
"50","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","0","46","24","0","0","0","26","4"
"53","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","38","0","32","0","27","0","0","3"
"52","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","0","47","23","0","0","0","30","0"
"51","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","38","0","32","0","29","0","0","1"
"54","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","39","0","31","0","26","0","0","4"
"58","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","39","0","0","31","0","0","30","0","0"
"55","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","37","0","0","33","0","0","29","0","1"
"56","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","0","47","23","0","0","0","30","0"
"59","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","0","47","23","0","0","0","28","2"
"57","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","42","0","0","28","0","0","27","0","3"
"60","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","46","0","0","0","24","28","0","0","0","2"
"61","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","46","14","0","0","0","36","4"
"62","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","40","0","0","20","0","0","34","0","6"
"63","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","45","0","0","15","0","0","35","0","5"
"64","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","43","0","17","0","33","0","0","7"
"65","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","39","21","0","0","0","33","7"
"66","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","43","17","0","0","0","31","9"
"67","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","38","0","0","22","0","0","35","0","5"
"68","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","39","0","0","0","21","33","0","0","0","7"
"69","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","45","0","0","15","0","0","35","0","5"
"70","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","42","18","0","0","0","35","5"
"71","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","44","0","0","0","16","37","0","0","0","3"
"72","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","45","0","0","15","0","0","36","0","4"
"73","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","43","17","0","0","0","34","6"
"74","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","44","16","0","0","0","35","5"
"75","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","43","0","17","0","33","0","0","7"
"76","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","37","23","0","0","0","36","4"
"77","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","41","0","0","0","19","37","0","0","0","3"
"78","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","40","0","20","0","34","0","0","6"
"79","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","37","0","0","0","23","34","0","0","0","6"
"80","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","43","0","0","17","0","0","32","0","8"
"81","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","89","0","0","1","4","0","6","0","0"
"82","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","3","87","0","0","0","4","0","6","0","0"
"83","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"84","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"86","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","82","8","0","0","0","10","0","0","0","0"
"85","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","0","89","1","0","0","0","10","0"
"87","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"88","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"89","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"90","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"91","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"92","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"93","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","2","88","0","0","7","0","3","0"
"96","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","89","0","0","0","1","10","0","0","0","0"
"94","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"95","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","0","90","0","0","0","0","10","0"
"97","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","88","0","0","2","1","0","9","0","0"
"98","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","88","0","0","0","2","10","0","0","0","0"
"99","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","90","0","0","0","10","0","0","0"
"100","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.1","500","0","0","88","2","0","0","9","0","1","0"
"101","0.5","1","0.5","0","true","0.002","0.2","100","5","2","250","0.2","500","0","0","80","0","0","0","20","0","0","0"
