"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ethnocentrism-proj.nlogo"
"experiment-with-perturbation"
"10/16/2024 09:45:59:549 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","init-likeness-ingroup","iterations","init-likeness-outgroup","gamma","regular-perturbation?","beta","rewire-prop","num-agents","W","num-links","regular-perturbation-interval","minority-proportion","[step]","count turtles with [type-agent = ""Altruist"" and tag = ""majority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""majority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""majority""]","count turtles with [type-agent = ""Egoist"" and tag = ""majority""]","count turtles with [type-agent = ""Undefined"" and tag = ""majority""]","count turtles with [type-agent = ""Altruist"" and tag = ""minority""]","count turtles with [type-agent = ""Ethnocentrist"" and tag = ""minority""]","count turtles with [type-agent = ""Cosmopolitan"" and tag = ""minority""]","count turtles with [type-agent = ""Egoist"" and tag = ""minority""]","count turtles with [type-agent = ""Undefined"" and tag = ""minority""]"
"46","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","39","4","0","0","27","25","0","5","0","0"
"44","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","26","0","14","0","30","25","0","0","0","5"
"47","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","39","1","0","0","30","13","0","14","0","3"
"48","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","8","0","32","0","30","28","0","0","0","2"
"50","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","6","2","29","1","32","30","0","0","0","0"
"49","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","28","0","11","0","31","29","0","0","0","1"
"51","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","0","35","35","0","0","0","28","2"
"53","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","33","7","3","0","27","9","0","18","1","2"
"57","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","40","1","0","0","29","10","0","19","0","1"
"54","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","38","0","0","0","32","6","0","22","0","2"
"52","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","30","1","8","0","31","24","0","3","0","3"
"58","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","42","0","0","0","28","11","0","17","0","2"
"55","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","29","0","11","0","30","26","0","0","0","4"
"56","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","37","0","0","0","33","27","0","0","0","3"
"59","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","0","0","42","28","0","0","0","29","1"
"60","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.3","500","0","40","0","3","27","0","0","0","27","3"
"62","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","21","2","15","1","21","6","0","25","2","7"
"61","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","41","0","0","0","19","18","0","15","0","7"
"65","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","43","17","0","0","0","34","6"
"64","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","19","0","24","17","0","0","0","33","7"
"63","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","32","0","7","21","0","0","0","35","5"
"67","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","43","17","0","26","0","8","6"
"66","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","28","0","10","0","22","26","0","6","0","8"
"68","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","0","0","0","36","24","0","34","0","0","6"
"69","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","26","0","12","2","20","29","0","8","0","3"
"70","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","39","5","0","0","16","20","1","10","2","7"
"71","0.5","1","0.5","0","true","0.002","0.2","100","0","2","250","0.4","500","21","3","21","0","15","16","2","15","1","6"
